source,document_id,revision,chunk_index,title,page,folder_type,subfolder,score,rerank_score,text_content
D70036 HAL 4.0 Software Description Report China Submission Rev 03 .docx.pdf,D70036,3,47,4 on-board USB 3.0 ports > 2.4 Life Cycle (生存周期)(No change) > 2.4.2 Configuration Management Plan,25,Regulatory,,0.376351118,0.17582092,"As per IEC 62304:2006 Clause 5.1.9 the following controls are in place: 1) the classes, types, categories or lists of items to be controlled: a) The software system is Class C because serious injury is possible should the system  fail to maintain functionality associated with the device’s essential performance. b) Software items within the system have not been de‐rated to B or A, as this is a legacy device with full risk management and V&V coverage. 2) the software configuration management activities and tasks: a) Configuration is managed as per: L9043 Software Configuration Management L6954 Software Versioning 3) the organizations responsible: a) VMS Palo Alto, California, is responsible for all updates to the device software. 4) the relationships with other organizations: a) There are no relationships with other organizations. 5) when items are to be placed under configuration controls"
D68685 HAL 4.0 Cybersecurity Statement Rev 01.docx.pdf,D68685,1,15,3.0 Definitions > 4.2 Integrity > 4.2.2 Software Integrity:,5,Risk Management,Risk Management Plans,0.344352096,0.14645308,"During the design and development phases of the lifecycle for the application software within Varian medical devices, the integrity of the system build is ensured by controlling the editing process and requiring regular reviews of the code. This is done to ensure that the integrity of the application software is maintained through the construction phase. W hen the software package is ready for release to the user, Varian manufacturing procedures (DND1902) are used to prevent improper or incompatible versions of the software from being distributed or installed. These procedures include measures to ensure the consistency of data, the absence of viruses or malware, and the inclusion of needed user documentation and labeling. For Varian medical devices, installation procedures and updates are handled by trained Varian Service personnel or local Service representatives. Acceptance procedures are utilized to provide a further barrier to loss of integrity, as the"
D70060 HAL 4.0 GSPR Checklist Rev2.docx.pdf,D70060,2,4,2. Canada Medical Device Regulations (CMDR) – 2024-12-14 (Continued),3,Regulatory,International Submission Dossier,0.317786336,0.08570928,"conditions of use, they are suitable for their intended purpose. They shall be safe and effective and shall not compromise the clinical condition or the safety of patients, or the safety and health of users or, where applicable, other persons, provided that any risks which may be associated with their use constitute acceptable risks when weighed against the benefits to the patient and are compatible with a high level of protection of health and safety, taking into account the generally acknowledged state of the art. EN ISO 13485:2016 EN ISO 14971:2019 +A11:2021 EN 60601-1-6:2010 +A1:2015+A2:2021 EN IEC 60601- 1:2006+A1:2012 + A2:2021 (Ed 3.2) EN 60601-1- 2:2015+A1:2021 EN IEC 60601-2- 1:2021 EN 62366-1: 2015+A1:2020 The use of the quality system standard EN ISO 13485 assures design and manufacture quality. The risk management standard ISO 14971 was followed to provide full lifecycle risk management framework. The risk of user error has been reduced as far as"
D73991 HAL 4.0 IEC 80001 Test Report Rev 01.pdf,D73991,1,21,2. Remove the drives and give them to the customer. > 5.14 Third-party components in product lifecycle roadmaps – RDMP,6,Design Output Specification,Labeling,0.324533403,0.050611433,"HDOs want an understanding of security throughout the full life Requirement goal cycle of a MEDICAL DEVICE. MDM plans such that products are sustainable throughout their life cycle according internal quality systems and external regulations. Products provided with clear statement of expected life span. Goal is to proactively manage impact of life cycle of components throughout a product’s full life cycle. This commercial off-the- shelf or 3rd party software includes operating systems, database systems, report generators, MIP components etc. (assumption is that existing PCP already manages hardware component obsolescence). 3rd party includes here also internal suppliers of security vulnerable components with own life cycle and support programs Obsolescence of platform components is managed via standard Note / Justification engineering process.  Upgrade or replacement of out-dated 3rd party components is considered in new releases. RAD1652 Terms & Condition Terms & Condition"
D68686 HAL 4.0 Cybersecurity Summary Report Rev 03.pdf,D68686,3,11,2. Basic Information > 2.4 Applicable Regulations,6,Risk Management,Risk Management Reports,0.339336812,0.04185213,"Guidance for Industry and Food and Drug Administration Staff: 1400044 Post-market Management of Cybersecurity in Medical Devices (issued on December 28, 2016). China NMPA Cyber Security Technical Guidance (CFDA Announcement No13[2017]). 2.5 Varian Product Lifecycle Cybersecurity Approach Varian implements a product lifecycle framework that guides the incorporation of the Secure by Design principle in Varian products and solutions.  The lifecycle framework also addresses the continuous management of cybersecurity risks after the products or solutions are released to the field. As part of the post-market cybersecurity maintenance, cybersecurity risk assessments are conducted periodically, or whenever it is needed in response to post-market cybersecurity signals such as 3rd party component vulnerability disclosure e.g., critical Microsoft vulnerabilities.  Depending on the nature and the level of the risks, the results of the post- ID Type Description E1 Configuration File"
D70060 HAL 4.0-GSPR Checklist.pdf,D70060,,40,2. Canada Medical Device Regulations (CMDR) – 2019-06-21 (Continued),14,Regulatory,Essential Requirements Checklist,0.311710864,0.03114383,"device when it comes into contact with materials, liquids, and substances, including gases, to which it is exposed during normal conditions of use; d) the risks associated with the possible negative interaction between software and the IT environment within which it operates and interacts; e) the risks of accidental ingress of substances into the device; f) the risks of reciprocal interference with other devices normally used in the investigations or for the treatment given; and g) risks arising where maintenance or calibration are not possible (as with implants), from ageing of materials used or loss of accuracy of any measuring or control mechanism. EN ISO 13485: 2016 EN ISO 14971: 2019 EN 62366-1: 2015 EN 60601-1-6:2010 +A1:2013 EN 60601-1: 2006/A1:2013 EN 60601-1-2:2015 IEC 60601-2-1:2020 (EDITION 4.0) Design and manufacture are assured through the use of quality system standard EN ISO13485. Device safety is assured through the use of the"
D101278 106485676MIN-002 IEC60601-1-6 Ed.3.2 HAL4.0_30_APR_2026 Rev 1.pdf,D101278,1,21,"40 51st Way NE, Suite 100 (Continued)",12,Regulatory,Test Reports - Regulatory Compliance,0.31111756,0.026506126,"SPECIFICATION  ..................................................................... : Document References in USABILITY ENGINEERING FILE, including any FORMATVE EVALUATION or required training strategy Summative Usability Test Plan [D67097] Usability Engineering File [D68994] Instructions for Use [P1039628-001-A] GOPS Services Plans [SP- GE-Halcyon40-A] P Where new USE ERRORS, HAZARDS, HAZARDOUS SITUATIONS or HAZARD-RELATED USE SCENARIOS are discovered during this step the MANUFACTURER shall repeat the steps of Clause 5 as appropriate User Centered Design (UCD) process is part of Product Life Cycle (PLC) process as described generally in DND01 Design and Development Procedure and specifically in DND17 User Centered Design Integration into PLC Planned activities were recorded in the Design and Development Plan [D45739] Usability Engineering File [D68994] P If training on the specific MEDICAL DEVICE is required for the safe us of the MEDICAL DEVICE by the"
D70036 HAL 4.0 Software Description Report China Submission Rev 03 .docx.pdf,D70036,3,46,4 on-board USB 3.0 ports > 2.4 Life Cycle (生存周期)(No change) > 2.4.1 Lifecycle Summary (Continued),25,Regulatory,,0.335605204,0.025226826,"required activities and deliverables are completed as defined, and that the device satisfies user needs and intended use and that it is completely translated into manufacturing specifications. Note: Any amendments to the required activities and deliverables shall be documented in the Design Transfer Review and approved by MER."
D70060 HAL 4.0-GSPR Checklist.pdf,D70060,,11,2. Canada Medical Device Regulations (CMDR) – 2019-06-21 (Continued),5,Regulatory,Essential Requirements Checklist,0.33998403,0.023375316,"applicable, of other persons are compromised during the lifetime of the device, as indicated by the manufacturer, when the device is subjected to the stresses which can occur during normal conditions of use and has been properly maintained in accordance with the manufacturer's instructions. EN ISO 13485: 2016 EN ISO 14971: 2019 EN 60601-1-2:2015 IEC 60601-2-1:2020 (Edition 4.0) The use of the quality system standard EN ISO13485 assures design and manufacture quality. The risk management standard ISO 14971 was followed to evaluate and mitigate risks. Expected use life is 10 years. The use of the Medical Electrical Equipment series EN IEC 60601 standards assures device safety and performance. Verification Summary Report: D68588 Validation Summary Report: D68014 Risk Management Report (RMR): D56979 D68781 Expected Lifetime. EN 60601-1 Test Report: 104993953MIN-001 EN 60601-1-2 Test Report: 105008743MPK-002 EN 60601-1-6 Test Report: 104993953MIN-006 BS EN 60601-2-1 Test Report:"
104993953MIN-001 - HAL4.0 - IEC 60601-1.pdf,104993953,,448,4 Supply voltage: (Continued),281-282,Regulatory,Test Reports - Regulatory Compliance,0.344429404,0.021656677,"SAP (transaction code: ZDMRI) P 5.8.6 [B, C] The MANUFACTURER ensured that all ACTIVITIES and TASKS are complete along with all the associated documentation Procedures used (Appendix A): The DND07F06 Design Output Review (DOR) Rev 01 ensures that all documentation, activities, and tasks are complete. Device records (Appendix B): D52227 HAL 4.0 Design Output Review REV 01 P 5.8.7 [A, B, C] For at least a period of time determined as the longer of: the life time of the device as defined by the MANUFACTURER or a time specified by relevant regulatory requirements, the MANUFACTURER archived: P Page 281 of 365                     Report No. 104993953MIN-001 IEC 60601-1 Clause Requirement + Test Result - Remark Verdict TRF No. IEC60601_1S Attachment - Software – IEC 62304:2006 — a) the SOFTW ARE PRODUCT and CONFIGURATION ITEMS Procedures used (Appendix A): Saving items in product vault and escrow is included in DND19 Software Configuration Management Procedure Rev 02. Configuration management"
