sub_query,rerank_score,score,source,document_id,revision,chunk_index,title,page,text_content
Is traceability established from requirements to design to verification and validation?,0.93171144,0.3141771885,D68985 HAL 4.0 IEC 62304+A1 2015 Software Lifecycle Assessment Rev 01.docx.pdf,D68985,1,84,Document_Header (Continued),47,"Verification Trace Matrix Pass b) the TRACEABILITY between software requirements and tests or other VERIFICATION is recorded Procedures used (Appendix A): Requirements traceability is required for each test, per DND08 Verification W ork Instruction Rev 02 DND0603 Design Trace Matrix Rev 02 , traces tests to requirements. Each test document specifies procedures. Device records (Appendix B): D68599 HAL 4.0 Design Verification Trace Matrix Pass c) test results meet the required pass/fail criteria Procedures used (Appendix A): DND0603 Design Trace Matrix Rev 02 , indicates pass/fail results for tests. Device records (Appendix B): D68599 HAL 4.0 Design Verification Trace Matrix Pass 5.7.5 [A, B, C] The MANUFACTURER shall: -- a) a reference to test case procedures showing required actions and expected results Procedures used (Appendix A): DND08T02 Verification Summary Report Rev 01 and DND09T02 Validation Summary Report Rev 02. Device records (Appendix B): D68599 HAL 4.0 Design"
Is traceability established from requirements to design to verification and validation?,0.831006,0.385062754,D101277 106485676MIN-001 IEC60601-1 Ed.3.2 HAL4.0_30_APR_2026 Rev 1.pdf,D101277,1,449,6. The MSO shall only be used to power the console cabinet (Continued),265-266,"D68599 Hal 4.0 Design Verification Trace Matrix P The MANUFACTURER verifies that: P a) all software requirements have been tested or otherwise VERIFIED Procedures used: DND0603 Design Trace Matrix, requires testing/verification for all software requirements Device records: D68599 Hal 4.0 Design Verification Trace Matrix P Page 266 of 352                           Report No.106485676MIN-001 IEC 60601-1 Clause Requirement + Test Result - Remark Verdict TRF No. IEC60601_1U b) the TRACEABILITY between software requirements and tests or other VERIFICATION is recorded Procedures used: Requirements traceability is required for each test, per DND08 Verification Work Instruction DND0603 Design Trace Matrix, traces tests to requirements. Each test document specifies procedures Device records: Verification Plan D68599 Hal 4.0 Design Verification Trace Matrix P c) test results meet the required pass/fail criteria Procedures used: DND0603 Design Trace Matrix, indicates pass/fail results for tests"
Is traceability established from requirements to design to verification and validation?,0.8000679,0.417407751,D68599 Hal 4.0 Design Verification Trace Matrix Rev 02.pdf,D68599,2,2,1. Introduction > 1.1 Purpose,3,"This document contains the Design Verification Trace Matrix for Hal 4.0.  It shows the trace from Requirements to Test Cases, and the test results."
Is traceability established from requirements to design to verification and validation?,0.7839885,0.382618606,D69533 HAL 4.0 MR1 Maintenance Release Document Rev09.docx.pdf,D69533,9,99,5. Verification and Validation > 6.2 Traceability,38,For the Verification Trace Matrix refer to D75262 HAL 4.0 MR1 Design Verification Trace Matrix - ADLM eReport Rev 01. Test case # 992460: Test plan (Test Description) and Test results are captured in DR#1311681 (Migration of CBCT modes). For the Validation Trace Matrix refer to D74887 HAL 4.0 MR1 Validation Summary Report Rev01.
Does the organization have documented design and development procedures compliant with applicable regulations?,0.7767923,0.471666545,D54978 HAL 4.0 Regulatory Plan Rev 5.0.pdf,D54978,5,22,8. General & Specific Regulatory Requirements,9,"For the complete list of applicable standards, related deliverables and organizations responsible see D47457 HAL 4.0 Applicable Standards  [Reference 1]. HAL shall comply with the listed standards and regulations and evidence in the form of test reports or checklists as defined in the Applicable Product Standards document must be provided. It is the responsibility of the project team to ensure that regulatory requirements, including national language requirements are included within design and development plans , according to cGMPs and national legislation. Regulatory submissions may require the product to meet additional specific standards recognized by individual national governmental authorities. Where these standards have been identified, they are listed in the country-specific subsections within Section 8 of this Regulatory Plan. On project documents updated during this project the following statement should be included prominently near the beginning of the document:"
Is traceability established from requirements to design to verification and validation?,0.72496766,0.332511067,D54978 HAL 4.0 Regulatory Plan Rev 5.0.pdf,D54978,5,77,2. “Ethos Radiotherapy System ” (Continued),34-35,"required for the 510(k) providing that system requirements, safety requirements etc are stated in LL020, System Requirements Specification (SyRS) DOR Regulatory Plan Revision Doc Number 5.0 D54978 Varian Confidential REG0504F01 Rev 05 This document contains confidential, proprietary information of Varian Medical Systems. It may not be copied or reproduced without prior written permission from Varian Medical Systems. Page 35 of 83 full in the Test Logs and Trace matrix.. Design Trace Matrix as per HAL Traceability Analysis Systems Engineering 3.0 .(All system or risk or other requirements to be included) (Validation Trace matrix was included as part of the Design Validation Report Design Trace Matrix (includes Verification) Validation Trace is in Validation Summary Report) DOR Risk Control Matrix Systems Engineering Copy of LL00000101, Design and Development Procedure QA DIR Engineering/Product Cyber Security Trace Security HAL3.0 D43754 DOR Engineering/Product"
Is traceability established from requirements to design to verification and validation?,0.7140302,0.419399858,104993953MIN-001 - HAL4.0 - IEC 60601-1.pdf,104993953,,418,4 Supply voltage: (Continued),257,"Clause Requirement + Test Result - Remark Verdict TRF No. IEC60601_1S Attachment - Software – IEC 62304:2006 — f) are traceable to SYSTEM requirements or another source Procedures used (Appendix A): The DND05G01 Requirements Management W ork Instruction Rev 05 specifies that requirements must be traceable to higher level requirements. DND05T02 Product Requirements Document (PRD) Rev 01 references DND05G01 Requirements Management W ork Instruction Rev 05. Requirements are verified and this activity is documented in DND0101 RACI for Design and Development Rev 02, and DND07F04 Test Readiness Reviews (TRRs) Rev 01 per DND01 Design and Development Procedure Rev 02. DND04T01 Design and Development Plan (DDP) Rev 02 references DND01 Design and Development Procedure Rev 02. DND0603 Design Trace Matrix Rev 01records traceability of requirements. Device records (Appendix B): D45739 HAL 4.0 Design and Development Plan Rev 06.docx D41377 HAL 4.0 Product Requirements Rev 3.0.doc"
Is traceability established from requirements to design to verification and validation?,0.70720255,0.370713234,D68779 HAL 4.0 Risk Control Measures Trace Matrix rev01.pdf,D68779,1,1,1. Introduction > 1.1 Purpose,3,The document contains the Risk Control Measures to Verification and Validation Trace Matrix for HAL 4.0. It shows the trace from Risk Control Measures to Requirement to Verification Test Cases and Risk Control Measures to Validation Test Cases and the test results.
Does the organization have documented design and development procedures compliant with applicable regulations?,0.7044652,0.48229298,D45070 Hal 4 Applicable Product Standards Rev 2.docx.pdf,D45070,2,9,2. Standards Evaluation > 2.1.1  Applicable Standards (Continued),6-7,"labeling regulation] Design and Development Procedure LL00000101 Item is not tested, it is verified by following SOPs Following Varian procedures ensures compliance with this standard. There are no separate test reports specific to the product being evaluated. x Applicable 2.1 -  Not Applicable 04 21 CFR part 803 Medical Device Reporting [FDA regulation, U.S.] U.S. Medical Device Reporting,  LL00000153 Item is not tested, it is verified by following SOPs Following Varian procedures ensures compliance with this standard. There are no separate test reports specific to the product being evaluated. HAL 4.0 Applicable Product Standards This document contains confidential, proprietary information of Varian Medical Systems. It may not be copied or reproduced without prior written permission from Varian Medical Systems. Doc Number Rev. Date D45070 2 date of last e-sign Format L00003413 Rev 08        Page 7 of 95 # Applicable/ Not Applicable Document Identifier"
Is traceability established from requirements to design to verification and validation?,0.68573904,0.296109647,D77160 HAL 4.0 Ethos with standard kV imager MRD Rev 05.docx.pdf,D77160,5,76,5. Verification and Validation > 6.2 Traceability,27,"N/A for Production validation, there is no new traceability introduced into MFG and no new critical components introduced."
Is traceability established from requirements to design to verification and validation?,0.6338636,0.319530457,D75414 HAL 4.0 Cybersecurity Summary Report China Submission Rev 01.pdf,D75414,1,24,2. Implementation Process > 2.2 System Requirements (需求规范),14-15,"Security requirements are listed in attachment 3 HAL 4.0 Cybersecurity Traceability Analysis, section 1: Requirements. 2.3 Verification and Validation (验证与确认) 2.3.1 Cyber security test plan and report (网络安全测试计划和报告) Penetration Test was performed for HAL 4.0 and no new findings were discovered. Halcyon 4.0 China Self-developed Software Cybersecurity Study Report This document contains confidential, proprietary information of Varian Medical Systems. It may not be copied or reproduced without prior written permission from Varian Medical Systems. Doc Number Rev. Date Date of last e- D75414 01 Sign Format L13138 Rev 02  Page 15 of 21 The testcases related to security requirements are captured in attachment 3 HAL 4.0 Cybersecurity Traceability Analysis (3), section 2: Verification Trace Matrix. For the complete test plan and report for HAL 4.0 see D52172 Halcyon Verification Plan Rev 02 and D68588 HAL 4.0 Verification Summary Report Rev 01."
