chunk_number,heading,heading_level,page,content_sample
1,Document_Header,0,1-2,"HAL 4.0 MR1 Maintenance Release Document This document contains confidential, proprietary information of Varian Medical Systems. It may not be copied or reproduced without prior written permission from Varian Medical Systems. Doc Number Rev. Date D69533 05 Date of last e-Sign DND01F02 Rev 01 Page 1 of 34 hh HAL 4.0 MR1 HAL 4.0 MR1 New Release: HAL 4.0 Current Product: Key Changes/Reason for the Release: Address findings from Preclinical Evaluation and vetted customer facing issue/product backlog items. Address alignment with business needs for HyperSight requirements to extend CBCTp requirements to IGRT (kV CBCT). See section 1.0 for more details. Initial Estimated Schedule Activity Date Kick-Off 29 Sep 2022 Eng implementation & testing complete See Section 1.3.5 Verification TRR Complete DFR Validation TRR Complete V&V complete DTR Maintenance Release HAL 4.0 MR1 Maintenance Release Document This document contains confidential, proprietary information of Varian"
2,Document_Header (Continued),0,2,"Medical Systems. It may not be copied or reproduced without prior written permission from Varian Medical Systems. Doc Number Rev. Date D69533 05 Date of last e-Sign DND01F02 Rev 01 Page 2 of 34 Project Authorization & Planning Approval Name Function Date Signature Eric Lindquist Product Management Applicable only for project planning (Sec 1 to Sec 5.1) Rev 01 Approved for Project Authorization on 30-Sep-2022. Rev 02 Approved for Project Planning on 22-Nov-2022. Rev 03 Approved for Project Planning on 23-Jan-2023. Rev 04 Approved for Project Planning on 21-Feb-2023. Rev 05 Project Planning Approval: e-signatures on the last page of this document. Magdalena Product Management Constantin Quality Assurance Chi Tran (Independent Reviewer) Asha Dholakia Project Management Reviewers Name Function Dipesh Shah  Sr Mgr, Halcyon Software Felicia Hong Sr. Program Manager Jinkai Shi Electrical Engineer Hao Sun Mgr, Manufacturing Engineering Xiang Peng Mfg Project Manager"
3,Document_Header (Continued),0,2-3,"Dong Luo Mgr, Project/Program Management Stephan Warfield PSE Hardware Specialist Eric De Biasi Sr Technical Writer Judy Walthers von Alten Sr Project (Design) Manager Blaine Kim Manufacturing NPI Project Manager Priti Kamat Sr Project (Design) Manager Krystina Szafran Systems Engineer Magdalena Constantin Sr Product Manager Susan Koehl Sr Product Manager Jimmy Hernandez Bello Sr Product Marketing Manager Chi Tran Sr QA Engineer Stuart Crowther Sr Regulatory Specialist Mitko Katsev R&D - HWE SYS David Wu Sr Product Verification Engineer HAL 4.0 MR1 Maintenance Release Document This document contains confidential, proprietary information of Varian Medical Systems. It may not be copied or reproduced without prior written permission from Varian Medical Systems. Doc Number Rev. Date D69533 05 Date of last e-Sign DND01F02 Rev 01 Page 3 of 34 Laura Buchanan Validation Specialist Danica Wyatt Lead Systems Engineer Vaclav Brandejsky Mgr, Product Support Engineering"
4,Document_Header (Continued),0,3,"Jozef Veis Sr SW Engineer (Applications) Ed Snyder Sr Mgr, HW Development Engineering Maintenance Release Document Approval Name Role Date Signature Not applicable for Rev 04 (Project Planning approval). REV Date Name DOCUMENT CHANGE RECORD 01 29 Sep 2022 Asha Dholakia Initial version, Project Authorization (Page 1 & 2 Only) 02 03 Oct 2022 Asha Dholakia Planning Approval (Section 1 to Section 5.1 only) · Updated the scope · Updated project timeline · Updated section 1 through 5.1 03 03 Jan 2023 Asha Dholakia Planning Approval for Plan update · Updated the scope – Section 1.1 · Updated project timeline – Section 1.3.5. 04 9 Feb 2023 Asha Dholakia Planning Approval for Plan update · Updated the scope – Section 1.1 · Updated project timeline – Section 1.3.5 05 27 Feb 2023 Asha Dholakia Planning Approval for Plan update · Updated the scope – Section 1.1 (deleted issue# 1312481 from project scope) · Updated project timeline – Section 1.3.5 · Updated references section"
5,Document_Header (Continued),0,4,"HAL 4.0 MR1 Maintenance Release Document This document contains confidential, proprietary information of Varian Medical Systems. It may not be copied or reproduced without prior written permission from Varian Medical Systems. Doc Number Rev. Date D69533 05 Date of last e-Sign DND01F02 Rev 01 Page 4 of 34"
6,1. Maintenance Release Plan > 1.1 Project Overview:,2,4,"HAL 4.0 MR1 is a maintenance release to address findings from the preclinical evaluation, customer facing issues and backlog items. This program is not intended to include items driven by new, modified, or deleted requirements or features and will NOT require a 510K submission.  The changes introduced are software only and do not impact hardware. The additional scope for TRR2 is highlighted below in Table 1, which also presents a comprehensive list of the entire program scope. The added scope falls into 3 main categories: 1. SW Bugs reported by the Investigational Use Institutions or found during TRR1 V&V - if unsolved, these issues will very likely trigger customer complaints Issue 1312448 Strong artifact in clinical images with XL imager RTI8643iL [Investigational Use Finding] Issue 1311681 Migration of CBCT modes: the Iterative_Acuros reconstructions are not available for IGRT modes [TRR1 V&V] 1231691 CBCT Reconstructor Image wrong workstation name [TRR1 V&V]"
7,1. Maintenance Release Plan > 1.1 Project Overview: (Continued),2,4,1321058 kV Dose Report file (RDSR) not created for Ethos Session Image [TRR1 V&V]
8,2. SW Bugs absorbed from MR2 (upon program cancellation),1,4,"- if unsolved, these issues will very likely trigger customer complaints Product Feedback 1276583 Customer Tenders (MVP, AUMC) - Customer Access to Re-Capture Offsets for Bore Collision Detection Product Feedback 1276585 Customer Tenders (MVP, AUMC) - View only view of MPC Parameters Issue 1310863 HAL 4 MR1 - STB needs to be updated to include the AUMC changes Issue 1274921 HAL 4 Investigational Use - Reconstruction using MAR Acuros (1mm, Head Protocol) crashes [Investigational Use Finding] Issue 1284562 HET 4.0 VA00178863 Failed to allocate CUDA memory [Investigational Use Finding]"
9,3. AUMC features to support Customer Tenders,1,4-5,"Additionally, a business request to support Amsterdam University Medical Center (AUMC) features required an additional scope update. These features were originally scoped for HAL4.0 MR2 which has recently been canceled. -  1276583 Bore Collision Offset, this feature will be added to the Service Advanced Rights. This will improve serviceability for the Maintenance Technician during preventative maintenance. If the Maintenance Technician has this right, they will be able to recapture the bore collision offset in Service Mode after the reinstallation of the bore cover. This feature is currently only available for Varian Service via HASP protection. HASP access will be maintained for Varian Service. - 1276585 MV and kV offset, offset flatness, and gain values in Machine Performance Check HAL 4.0 MR1 Maintenance Release Document This document contains confidential, proprietary information of Varian Medical Systems. It may not be copied or reproduced without prior written"
10,3. AUMC features to support Customer Tenders (Continued),1,5,"permission from Varian Medical Systems. Doc Number Rev. Date D69533 05 Date of last e-Sign DND01F02 Rev 01 Page 5 of 34 Mode, the display of these values in Machine Performance Check Mode (MPC) will be added to the MPC configuration. The configuration will be HASP protected and will only be available to be enabled by Product Support Engineering. The change will not be available for all Halcyon installs. If this capability is enabled, the Maintenance Technician will be able to review these values in Machine Performance Check Mode during preventative maintenance. The display of these values is currently only available for Varian Service via HASP protection. HASP access will be maintained for Varian Service. The impact of all these changes on the schedule is captured in Sec. 1.3.5. Table 1 below lists the ADLM query results per run performed on March 1, 2023 (Link). The incremental scope for TRR2 is highlighted. Table 1: HAL 4 MR1 program scope (ADLM) ID Title Work Item Type Team 1"
